PO Number,PO line,PO Schedule Line,Item Code,PO Delivery Date,PO Open Qty,Buyer,Buyer email,supplier_email,Supplier,Supplier contact name,Status
8394266,1,1,2914-1122,09/30/2025,3,Carlos,carlos@happyrobot.ai,aerocraft1@example.com,AeroCraft Tooling Co,Miles Ortega,Delivered
6595370,2,12,8746-7182,11/24/2025,11,Carlos,carlos@happyrobot.ai,aerocrafttoolingco@example.com,AeroCraft Tooling Co,Clara Nguyen,Pending
8899386,2,8,9506-8174,11/20/2025,19,Carlos,carlos@happyrobot.ai,steelforgeltd@example.com,SteelForge Ltd,Sofia Martins,Delayed
7631078,2,1,5688-1622,10/19/2025,15,Carlos,carlos@happyrobot.ai,aerocrafttoolingco@example.com,AeroCraft Tooling Co,Miles Ortega,Delayed
2020468,1,3,4555-1653,10/03/2025,28,Carlos,carlos@happyrobot.ai,skyworksparts@example.com,SkyWorks Parts,Hannah Kim,Delayed
6864070,4,4,9036-3708,10/12/2025,25,Carlos,carlos@happyrobot.ai,steelforgeltd@example.com,SteelForge Ltd,Jordan Parker,On Way
1934321,3,7,6295-6569,10/01/2025,20,Carlos,carlos@happyrobot.ai,aerocrafttoolingco@example.com,AeroCraft Tooling Co,Miles Ortega,Delivered
4901675,3,11,9910-4379,11/25/2025,28,Carlos,carlos@happyrobot.ai,skyworksparts@example.com,SkyWorks Parts,Denise Patel,At Risk
1664203,4,5,1658-3905,10/06/2025,18,Denise,denise@happyrobot.ai,mechasuppliesinc@example.com,MechaSupplies Inc,Jamie Li,Phone Call
1688919,4,6,9124-6598,10/08/2025,38,Denise,denise@happyrobot.ai,skyworksparts@example.com,SkyWorks Parts,Hannah Kim,On Way
8315869,1,9,2689-8949,10/16/2025,25,Denise,denise@happyrobot.ai,skyworksparts@example.com,SkyWorks Parts,Denise Patel,Email Sent
4264881,4,9,4871-6918,10/26/2025,14,Denise,denise@happyrobot.ai,aerocrafttoolingco@example.com,AeroCraft Tooling Co,Clara Nguyen,Confirmed
5698419,3,7,6225-3480,10/24/2025,35,Denise,denise@happyrobot.ai,skyworksparts@example.com,SkyWorks Parts,Roberto Alvarez,Delivered
7712008,3,9,2863-7149,10/04/2025,18,Denise,denise@happyrobot.ai,mechasuppliesinc@example.com,MechaSupplies Inc,Jamie Li,Delayed
7626844,3,7,8857-4040,10/18/2025,26,Denise,denise@happyrobot.ai,aerocrafttoolingco@example.com,AeroCraft Tooling Co,Miles Ortega,Pending
2739978,1,6,8795-2068,10/28/2025,9,Denise,denise@happyrobot.ai,aerocrafttoolingco@example.com,AeroCraft Tooling Co,Clara Nguyen,Delayed
